,run_id,experiment_id,variable_parameter,value,seed,save_dir,wandb_run_id,training_initiated,training_finished,zeroshot_initiated,zeroshot_finished
0,0,782113,config.num_hidden_layers,6,509948,,,True,False,False,False
1,1,782113,config.num_hidden_layers,6,382453,,,False,False,False,False
2,2,782113,config.num_hidden_layers,6,78476,,,False,False,False,False
3,3,782113,config.num_hidden_layers,6,459289,,,False,False,False,False
4,4,782113,config.num_hidden_layers,6,718178,,,False,False,False,False
5,5,782113,config.num_hidden_layers,8,513210,,,False,False,False,False
6,6,782113,config.num_hidden_layers,8,616166,,,False,False,False,False
7,7,782113,config.num_hidden_layers,8,248631,,,False,False,False,False
8,8,782113,config.num_hidden_layers,8,717155,,,False,False,False,False
9,9,782113,config.num_hidden_layers,8,712344,,,False,False,False,False
10,10,782113,config.num_hidden_layers,10,125478,,,False,False,False,False
11,11,782113,config.num_hidden_layers,10,365379,,,False,False,False,False
12,12,782113,config.num_hidden_layers,10,884021,,,False,False,False,False
13,13,782113,config.num_hidden_layers,10,142077,,,False,False,False,False
14,14,782113,config.num_hidden_layers,10,125387,,,False,False,False,False
15,15,782113,config.num_hidden_layers,12,423943,,,False,False,False,False
16,16,782113,config.num_hidden_layers,12,118489,,,False,False,False,False
17,17,782113,config.num_hidden_layers,12,553061,,,False,False,False,False
18,18,782113,config.num_hidden_layers,12,572984,,,False,False,False,False
19,19,782113,config.num_hidden_layers,12,872283,,,False,False,False,False
